,Average
1969-09-15,3.72391304347826
1969-09-22,3.72391304347826
1969-09-29,3.72391304347826
1969-10-06,3.89368421052632
1969-10-13,3.89368421052632
1969-10-20,3.89368421052632
1969-10-27,3.89368421052632
1969-11-03,3.78131868131868
1969-11-10,3.78131868131868
1969-11-17,3.78131868131868
1969-11-24,3.78131868131868
1969-12-01,3.7043956043956
1969-12-08,3.7043956043956
1969-12-15,3.7043956043956
1969-12-22,3.7043956043956
1969-12-29,3.7043956043956
1970-01-05,3.86
1970-01-12,3.86
1970-01-19,3.86
1970-01-26,3.86
1970-02-02,4.20196078431373
1970-02-09,4.20196078431373
1970-02-16,4.20196078431373
1970-02-23,4.20196078431373
1970-03-02,4.47169811320755
1970-03-09,4.47169811320755
1970-03-16,4.47169811320755
1970-03-23,4.47169811320755
1970-03-30,4.47169811320755
1970-04-06,4.62142857142857
1970-04-13,4.62142857142857
1970-04-20,4.62142857142857
1970-04-27,4.62142857142857
1970-05-04,4.94786324786325
1970-05-11,4.94786324786325
1970-05-18,4.94786324786325
1970-05-25,4.94786324786325
1970-06-01,5.15950413223141
1970-06-08,5.15950413223141
1970-06-15,5.15950413223141
1970-06-22,5.15950413223141
1970-06-29,5.15950413223141
1970-07-06,5.34920634920635
1970-07-13,5.34920634920635
1970-07-20,5.34920634920635
1970-07-27,5.34920634920635
1970-08-03,5.21451612903226
1970-08-10,5.21451612903226
1970-08-17,5.21451612903226
1970-08-24,5.21451612903226
1970-08-31,5.21451612903226
1970-09-07,5.26377952755905
1970-09-14,5.26377952755905
1970-09-21,5.26377952755905
1970-09-28,5.26377952755905
1970-10-05,5.3078125
1970-10-12,5.3078125
1970-10-19,5.3078125
1970-10-26,5.3078125
1970-11-02,5.54210526315789
1970-11-09,5.54210526315789
1970-11-16,5.54210526315789
1970-11-23,5.54210526315789
1970-11-30,5.54210526315789
1970-12-07,5.71037037037037
1970-12-14,5.71037037037037
1970-12-21,5.71037037037037
1970-12-28,5.71037037037037
1971-01-04,5.64090909090909
1971-01-11,5.64090909090909
1971-01-18,5.64090909090909
1971-01-25,5.64090909090909
1971-02-01,5.66716417910448
1971-02-08,5.66716417910448
1971-02-15,5.66716417910448
1971-02-22,5.66716417910448
1971-03-01,5.66268656716418
1971-03-08,5.66268656716418
1971-03-15,5.66268656716418
1971-03-22,5.66268656716418
1971-03-29,5.66268656716418
1971-04-05,5.82554744525547
1971-04-12,5.82554744525547
1971-04-19,5.82554744525547
1971-04-26,5.82554744525547
1971-05-03,5.56515151515152
1971-05-10,5.56515151515152
1971-05-17,5.56515151515152
1971-05-24,5.56515151515152
1971-05-31,5.56515151515152
1971-06-07,5.56515151515152
1971-06-14,5.56515151515152
1971-06-21,5.56515151515152
1971-06-28,5.56515151515152
1971-07-05,5.61278195488722
1971-07-12,5.61278195488722
1971-07-19,5.61278195488722
1971-07-26,5.61278195488722
1971-08-02,5.58955223880597
1971-08-09,5.58955223880597
1971-08-16,5.58955223880597
1971-08-23,5.58955223880597
1971-08-30,5.58955223880597
1971-09-06,5.66268656716418
1971-09-13,5.66268656716418
1971-09-20,5.66268656716418
1971-09-27,5.66268656716418
1971-10-04,5.59850746268657
1971-10-11,5.59850746268657
1971-10-18,5.59850746268657
1971-10-25,5.59850746268657
1971-11-01,5.63925925925926
1971-11-08,5.63925925925926
1971-11-15,5.63925925925926
1971-11-22,5.63925925925926
1971-11-29,5.63925925925926
1971-12-06,5.47142857142857
1971-12-13,5.47142857142857
1971-12-20,5.47142857142857
1971-12-27,5.47142857142857
1972-01-03,5.42424242424242
1972-01-10,5.42424242424242
1972-01-17,5.42424242424242
1972-01-24,5.42424242424242
1972-01-31,5.42424242424242
1972-02-07,5.27829457364341
1972-02-14,5.27829457364341
1972-02-21,5.27829457364341
1972-02-28,5.27829457364341
1972-03-06,5.47443609022556
1972-03-13,5.47443609022556
1972-03-20,5.47443609022556
1972-03-27,5.47443609022556
1972-04-03,5.27829457364341
1972-04-10,5.27829457364341
1972-04-17,5.27829457364341
1972-04-24,5.27829457364341
1972-05-01,5.42878787878788
1972-05-08,5.42878787878788
1972-05-15,5.42878787878788
