,0,1,2,3,4
2009-09-14 00:00:00+00:00,0.51732874,0.0,0.0,0.0,0.47974068
2009-09-21 00:00:00+00:00,0.0,0.0,0.9976252,0.0,0.0
2009-09-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2009-10-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2009-10-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2009-10-19 00:00:00+00:00,0.0,0.0,0.9885385,0.0,0.0
2009-10-26 00:00:00+00:00,0.40128818,0.0,0.33481193,0.0,0.26148707
2009-11-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2009-11-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2009-11-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2009-11-23 00:00:00+00:00,0.0,0.0,0.98268527,0.0,0.0
2009-11-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2009-12-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2009-12-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2009-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2009-12-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-01-04 00:00:00+00:00,0.0,0.0,0.97388816,0.0,0.0
2010-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-01-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-01-25 00:00:00+00:00,0.8120182,0.0,0.98263687,0.0,0.16992714
2010-02-01 00:00:00+00:00,0.015768936,0.01573484,0.8991094,0.05368346,0.01570339
2010-02-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-02-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-02-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.99684334
2010-03-01 00:00:00+00:00,0.60098124,0.32732403,0.64480364,0.31169677,1.07942001
2010-03-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-03-15 00:00:00+00:00,0.0,0.0,0.98894405,0.0,0.0
2010-03-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-03-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-04-05 00:00:00+00:00,0.96749914,0.0,0.0,0.0,0.0
2010-04-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-04-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-04-26 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-05-03 00:00:00+00:00,0.0,0.0,0.97272927,0.0,0.0
2010-05-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-05-17 00:00:00+00:00,0.0,0.7403397,0.0,0.0,0.25535694
2010-05-24 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-05-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-06-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-06-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-06-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-06-28 00:00:00+00:00,0.011303873,0.011243396,0.9549602,0.011246835,0.011245624
2010-07-05 00:00:00+00:00,0.8912143,0.0,1.133246892,0.0,0.9408873
2010-07-12 00:00:00+00:00,0.0,0.0798455,0.59790653,0.30430746,0.0
2010-07-19 00:00:00+00:00,0.022495605,0.022418026,0.909851,0.022507174,0.022728125
2010-07-26 00:00:00+00:00,0.0,0.3679791,0.6240022,0.0,0.0
2010-08-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.9933478
2010-08-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-08-16 00:00:00+00:00,0.0,0.0,0.9646738,0.0,0.0
2010-08-23 00:00:00+00:00,0.011926869,0.011930773,0.33076537,0.01192836,0.63344866
2010-08-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-09-06 00:00:00+00:00,0.0,0.0,0.90689534,0.0,0.08796517
2010-09-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-09-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-09-27 00:00:00+00:00,0.0,0.49467495,0.0,0.0,0.4988553
2010-10-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.9706275
2010-10-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-10-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-10-25 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-11-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2010-11-08 00:00:00+00:00,0.010723121,0.010651197,1.009733524,0.95731175,1.000678544
