Date,Average
1978-06,6.66626506024096
1978-07,6.71676646706587
1978-08,6.66626506024096
1978-09,6.68571428571429
1978-10,6.52592592592593
1978-11,6.61829268292683
1978-12,6.65030303030303
1979-01,6.55766871165644
1979-02,6.46603773584906
1979-03,6.35822784810127
1979-04,6.41823899371069
1979-05,6.12631578947368
1979-06,6.04304635761589
1979-07,5.90529801324503
1979-08,5.9640522875817
1979-09,5.89328859060403
1979-10,6.02941176470588
1979-11,5.99078947368421
1979-12,6.04210526315789
1980-01,6.34076433121019
1980-02,6.39620253164557
1980-03,6.39620253164557
1980-04,6.68072289156626
1980-05,6.99942196531792
1980-06,7.01511627906977
1980-07,7.04597701149425
1980-08,6.98045977011494
1980-09,6.75833333333333
1980-10,6.74260355029586
1980-11,6.68224852071006
1980-12,6.58502994011976
1981-01,6.78941176470588
1981-02,6.7140350877193
1981-03,6.72705882352941
1981-04,6.49030303030303
1981-05,6.66941176470588
1981-06,6.66941176470588
1981-07,6.53734939759036
1981-08,6.60120481927711
1981-09,7.16256983240224
1981-10,7.39891304347826
1981-11,7.58617021276596
1981-12,7.87525773195876
1982-01,7.87422680412371
1982-02,8.163
1982-03,8.3873786407767
1982-04,8.77663551401869
1982-05,9.07909090909091
1982-06,9.57272727272727
1982-07,10.1
1982-08,10.1796680497925
1982-09,10.5032128514056
1982-10,10.884496124031
1982-11,11.0655172413793
1982-12,11.155303030303
1983-01,9.82069632495165
1983-02,9.82185686653772
1983-03,9.75836575875486
1983-04,9.78416988416989
1983-05,9.7766859344894
1983-06,9.85172413793103
1983-07,9.57945205479452
1983-08,9.54288499025341
1983-09,9.44409448818898
1983-10,9.3624254473161
1983-11,9.36361829025845
1983-12,9.38452380952381
1984-01,9.32350597609562
1984-02,9.34183266932271
1984-03,9.3251497005988
1984-04,9.39960317460318
1984-05,9.40796812749004
1984-06,9.31563126252505
1984-07,9.3675944333996
1984-08,9.42301587301587
1984-09,9.58251473477407
1984-10,9.48102766798419
1984-11,9.51185770750988
1984-12,9.48772277227723
1985-01,9.39
1985-02,9.4191235059761
1985-03,9.46825396825397
1985-04,9.46381709741551
1985-05,9.39740518962076
1985-06,9.42896825396825
1985-07,9.37290836653387
1985-08,9.32776659959759
1985-09,9.30320641282565
1985-10,9.3256
1985-11,9.32035928143713
1985-12,9.31716566866267
1986-01,9.21034482758621
1986-02,9.25291750503018
1986-03,9.27314629258517
1986-04,9.2776
1986-05,9.2952
1986-06,9.30717131474104
1986-07,9.320675944334
1986-08,9.33585657370518
1986-09,9.36666666666667
1986-10,9.35338645418327
1986-11,9.33665338645418
1986-12,9.36600397614314
1987-01,9.30876494023904
1987-02,9.30838323353293
1987-03,9.26392785571142
1987-04,9.17302231237323
1987-05,9.11663286004057
1987-06,9.10936863543788
1987-07,9.01097308488613
1987-08,8.93966597077244
1987-09,8.85729386892178
1987-10,8.80063694267516
1987-11,8.70258064516129
1987-12,8.61913043478261
1988-01,8.53851203501094
1988-02,8.4682119205298
1988-03,8.40601336302895
1988-04,8.35823927765237
1988-05,8.31399548532731
1988-06,8.23623853211009
1988-07,8.21441647597254
