EventCode,NumMentions,Actor1Code,Actor1Name,Actor2Code,Actor2Name,NumArticles,DATEADDED
173,10,CRM,GANG,NZLMED,AUCKLAND,10,20230524061500
128,10,CVL,COMMUNITY,,,10,20230524061500
1712,10,CVL,COMMUNITY,THA,BANGKOK,10,20230524061500
193,10,DEUCOP,BRUNSWICK,,,10,20230524061500
120,5,DEULEG,FRANKFORT,,,5,20230524061500
120,5,DEULEG,FRANKFORT,DEU,FRANKFORT,5,20230524061500
0874,10,EDU,SCHOOL,,,10,20230524061500
013,10,EDU,UNIVERSITY,CVL,CITIZEN,10,20230524061500
012,20,GOV,CHANCELLOR,BUS,INDUSTRY,10,20230524061500
020,10,GOVHLH,HEALTH DEPARTMENT,,,10,20230524061500
010,10,GRC,ATTICA,LEG,SENATE,10,20230524061500
017,10,HLH,NURSE,,,10,20230524061500
084,5,HLH,HOSPITAL,,,5,20230524061500
0841,10,HLH,HOSPITAL,LAB,STAFF MEMBER,10,20230524061500
120,10,IND,NEW DELHI,BUS,COMPANY,10,20230524061500
040,15,IND,JAMMU AND KASHMIR,MIL,CRUISER,10,20230524061500
017,5,INDGOVAGR,SHARAD PAWAR,LEG,PARLIAMENT,5,20230524061500
160,5,INDGOVAGR,SHARAD PAWAR,LEG,PARLIAMENT,5,20230524061500
128,10,JUD,JUDGE,,,10,20230524061500
084,10,MED,MEDIA,BUS,COMPANY,10,20230524061500
040,15,MIL,CRUISER,IND,JAMMU AND KASHMIR,10,20230524061500
010,10,MNCUSA,DISNEY,ELI,ACTOR,10,20230524061500
120,5,MYS,JOHOR,,,5,20230524061500
190,10,OPP,ACTIVIST,,,10,20230524061500
020,5,PTY,PARTY LEADER,KENGOV,RAILA ODINGA,5,20230524061500
042,5,SWE,LUND,,,5,20230524061500
051,10,SWE,LUND,,,10,20230524061500
042,5,USACVL,ROCHESTER,,,5,20230524061500
010,10,ZAF,CAPE TOWN,EDU,SCHOOL,10,20230524061500
043,10,,,AGR,FARMER,10,20230524043000
060,10,,,AGR,FARMER,10,20230524043000
041,10,,,COP,POLICE,10,20230524043000
043,10,,,LEGLEG,REPRESENTATIVES,10,20230524043000
042,10,AGR,FARMER,,,10,20230524043000
111,10,BGD,RANGPUR,,,10,20230524043000
190,10,BGD,JAMALPUR,EDU,SCHOOL,10,20230524043000
040,10,BUS,INDUSTRY,CVL,VILLAGE,10,20230524043000
057,10,BUS,BANK,JUD,PROSECUTOR,10,20230524043000
036,10,BUS,EMPLOYER,LAB,WORKER,10,20230524043000
041,10,COP,POLICE,,,10,20230524043000
060,10,COP,POLICE,EDU,SCHOOL,10,20230524043000
020,10,COP,DEPUTY,UAFMIL,FIGHTER,10,20230524043000
130,10,CRM,CRIMINAL,JUD,PROSECUTOR,10,20230524043000
040,10,CVL,VILLAGE,BUS,INDUSTRY,10,20230524043000
112,10,CVL,TOURIST,REB,UPRISING,10,20230524043000
051,10,GOV,PRESIDENT,GOVGOV,MINIST,10,20230524043000
112,20,GOVPTY,RULING PARTY,OPP,THE OPPOSITION,10,20230524043000
193,10,HLH,HOSPITAL,,,10,20230524043000
046,10,HLH,DOCTOR,MED,WRITER,10,20230524043000
010,10,IDN,LAMPUNG,,,10,20230524043000
020,10,IDN,LAMPUNG,JUD,PROSECUTOR,10,20230524043000
057,10,JUD,PROSECUTOR,BUS,BANK,10,20230524043000
1121,10,JUD,PROSECUTOR,CRM,CRIMINAL,10,20230524043000
036,10,LAB,WORKER,GOV,SECRETARIAT,10,20230524043000
112,10,LEG,SENATOR,MDV,MALE,10,20230524043000
042,10,LEGLEG,REPRESENTATIVES,,,10,20230524043000
044,10,MED,NEWSPAPER,,,10,20230524043000
060,10,MED,MEDIA,COP,POLICE,10,20230524043000
173,10,MED,MEDIA,COP,POLICE,10,20230524043000
046,10,MED,WRITER,HLH,DOCTOR,10,20230524043000
070,10,MIL,NAVY,,,10,20230524043000
073,10,MIL,MILITARY,,,10,20230524043000
129,10,OPP,ACTIVIST,,,10,20230524043000
051,10,PTY,POLITICAL PARTY,,,10,20230524043000
010,10,RUSGOVAGR,KRASNOYARSK,,,10,20230524043000
0353,10,,,CVL,COMMUNITY,10,20230524044500
045,10,,,CVL,COMMUNITY,10,20230524044500
031,10,,,EDU,SCHOOL,10,20230524044500
173,5,,,GBR,LONDON,5,20230524044500
0353,10,,,GOV,GOVERNMENT,10,20230524044500
