Date,Action,Forecast,Actual,Return (%),Budget,LongOnly
2018-10-15,,2650.3804,2763.83,,,13209.277650859802
2018-10-22,Sell,2643.4631,2773.94,-3.6049806413326453e-06,8858.485432217221,13257.596757697123
2018-10-29,,2652.3125,2682.65,,,12821.290994771405
2018-11-05,,2631.8494,2726.37,,,13030.24365064951
2018-11-12,,2621.0457,2773.93,,,13257.548964317462
2018-11-19,Sell,2619.6863,2730.74,-0.036576166167412376,9182.494867377602,13051.129357561389
2018-11-26,,2622.6853,2649.97,,,12665.102230039094
2018-12-03,,2594.3865,2790.5,,,13336.742594415822
2018-12-10,,2592.548,2630.86,,,12573.76908150683
2018-12-17,Sell,2584.3298,2590.75,-0.02128341213934184,9377.92969010739,12382.069835686361
2018-12-24,,2579.0483,2400.56,,,11473.087547912863
2018-12-31,,2593.198,2498.94,,,11943.278817018267
2019-01-07,,2490.3813,2535.61,,,12118.537140235336
2019-01-14,Sell,2604.522,2580.31,0.048901101030496275,8919.338602874559,12332.173547320224
2019-01-21,,2596.2449,2651.27,,,12671.315369395032
2019-01-28,,2713.2627,2644.97,,,12641.20554020857
2019-02-04,,2511.8374,2706.49,,,12935.230411883345
2019-02-11,Sell,2667.6765,2712.4,0.03759401268249513,8584.024874318624,12963.476299263026
2019-02-18,,2622.39,2760.24,,,13192.119827561484
2019-02-25,,2731.8872,2804.35,,,13402.936425246375
2019-03-04,,2631.7676,2814.37,,,13450.825391666745
2019-03-11,Sell,2631.1104,2747.61,0.036766498884485056,8268.420333352597,13131.756789049581
2019-03-18,,2597.2852,2822.61,,,13490.207136507452
2019-03-25,,2615.9873,2796.01,,,13363.07674660906
2019-04-01,,2628.403,2848.63,,,13614.565510385502
2019-04-08,Sell,2614.7493,2888.46,0.018044217333804135,8119.223159850337,13804.926541575462
2019-04-15,,2585.9565,2908.32,,,13899.844193582305
2019-04-22,,2563.243,2898.78,,,13854.249309385665
2019-04-29,,2579.8472,2940.58,,,14054.02563636885
2019-05-06,Sell,2550.1487,2908.89,-0.02629181577852721,8332.692279433873,13902.568416222985
2019-05-13,,2549.7224,2840.19,,,13574.227897951576
2019-05-20,,2524.2637,2841.94,,,13582.59173939226
2019-05-27,,2539.0566,2832.41,,,13537.044648575278
2019-06-03,Sell,2818.035,2751.53,0.07264685465904419,7727.348394491301,13150.491793876712
2019-06-10,,2794.4038,2885.83,,,13792.356882724604
2019-06-17,,2788.5176,2889.75,,,13811.091887551736
2019-06-24,,2779.0276,2951.42,,,14105.833659921427
2019-07-01,Sell,2797.3604,2971.41,0.0035404067429267525,7699.9904381305005,14201.372625863865
2019-07-08,,2789.1162,2979.77,,,14241.327891260502
2019-07-15,,2760.0269,3017.8,,,14423.086114111475
2019-07-22,,2752.2966,2981.93,,,14251.651261267289
2019-07-29,Sell,2746.667,3024.47,-0.036697338707277566,7982.559595281374,14454.964298345392
2019-08-05,,2754.917,2898.07,,,13850.85597942973
2019-08-12,,2729.5144,2907.07,,,13893.870021124674
2019-08-19,,2731.6655,2913.48,,,13924.505577487407
2019-08-26,Sell,2722.4512,2866.7,0.0452471482889734,7621.371537548111,13700.928147433016
2019-09-02,,2716.804,2937.09,,,14037.345746867144
2019-09-09,,2704.2273,2988.43,,,14282.71695804697
2019-09-16,,2690.7712,2996.41,,,14320.856075016487
2019-09-23,Sell,2679.848,2983.5,-0.005929277693983595,7666.560765803257,14259.154821874074
2019-09-30,,2681.0378,2967.07,,,14180.63029909097
2019-10-07,,2680.07,2944.23,,,14071.470219945133
2019-10-14,,2672.2856,2965.81,,,14174.608333253676
2019-10-21,Buy,2654.5288,2996.48,0.02798283319094401,7881.092856860965,14321.190628674116
2019-10-28,,2669.104,3032.12,,,14491.526233786095
2019-11-04,,2664.1086,3078.96,,,14715.390424118452
2019-11-11,,2657.9456,3080.33,,,14721.938117132015
2019-11-18,Sell,2647.364,3117.91,0.00768142762299113,7820.554812490915,14901.545637898238
2019-11-25,,2653.3384,3117.44,,,14899.299349054168
2019-12-02,,2637.0127,3143.85,,,15025.521664738999
2019-12-09,,2643.9517,3141.86,,,15016.010782186451
2019-12-16,Buy,2635.6526,3183.63,0.010654504449323593,7903.878948536778,15215.643729030655
2019-12-23,,2649.0918,3226.05,,,15418.383245552826
2019-12-30,,2655.624,3240.09,,,15485.48515059694
2020-01-06,,2660.9272,3217.55,,,15377.758872840936
2020-01-13,Sell,2643.128,3271.13,-0.010843347711647123,7989.583456246531,15633.835801064837
2020-01-20,,2612.037,3323.66,,,15884.894424424328
2020-01-27,,2619.9536,3247.16,,,15519.2750700173
2020-02-03,,2619.7688,3235.66,,,15464.312683407094
2020-02-10,Sell,2591.2905,3318.28,-0.10366816543510493,8817.848915746274,15859.181586166686
2020-02-17,,2563.5,3378.08,,,16144.985996539759
2020-02-24,,2561.7393,3257.61,,,15569.219151763098
2020-03-02,,2531.272,2974.28,,,14215.089325826588
2020-03-09,Sell,2529.0693,2863.89,-0.10646707799531402,9756.659524009929,13687.498207748262
2020-03-16,,2523.801,2508.59,,,11989.39942839118
2020-03-23,,2514.9893,2290.71,,,10948.077272336235
2020-03-30,,2519.2312,2558.98,,,12230.230268503206
2020-04-06,Sell,2496.5056,2578.28,0.10719161611617042,8710.827421736078,12322.471491249033
2020-04-13,,2487.2324,2782.46,,,13298.316717168338
2020-04-20,,2478.7183,2845.62,,,13600.179703107526
2020-04-27,,2468.9148,2854.65,,,13643.337124941454
2020-05-04,Sell,2467.0088,2815.01,0.047260933353700324,8299.145587501824,13453.884167965054
2020-05-11,,2454.0862,2915.46,,,13933.968666660294
2020-05-18,,2439.5203,2913.86,,,13926.321725914526
2020-05-25,,2433.91,2948.05,,,14089.727290975654
2020-06-01,Sell,2956.9775,3038.78,0.018309979662890986,8147.1884005752945,14523.356624640355
2020-06-08,,2943.1516,3199.92,,,15293.499144498504
2020-06-15,,2922.6895,2993.76,,,14308.190829406312
2020-06-22,,2880.2258,3094.42,,,14789.278989074433
2020-06-29,Sell,2840.3252,3018.59,0.06814439854369087,7592.0031471959555,14426.861791104697
2020-07-06,,2794.0994,3155.29,,,15080.197291071241
2020-07-13,,2761.2097,3205.08,,,15318.160528403605
2020-07-20,,2733.7634,3224.29,,,15409.97161073248
2020-07-27,Sell,2731.65,3219.84,0.05000869608427747,7212.336969136954,15388.703556783315
2020-08-03,,2714.2979,3288.26,,,15715.705860424216
2020-08-10,,2702.622,3356.04,,,16039.649387766805
2020-08-17,,2689.1782,3380.86,,,16158.27255608553
2020-08-24,Sell,2690.1846,3418.09,-0.015953354066159813,7327.39793445005,16336.207308563618
2020-08-31,,2694.6907,3509.73,,,16774.185839777474
2020-09-07,,2681.1257,3453.6,,,16505.921599740002
2020-09-14,,2673.295,3363.56,,,16075.590009271915
2020-09-21,Buy,2676.6877,3285.57,0.06527025752000408,7805.6590845831515,15702.849441295391
2020-09-28,,2679.8838,3333.9,,,15933.834845197243
2020-10-05,,2682.8057,3367.27,,,16093.321353126164
2020-10-12,,2678.4785,3500.02,,,16727.778468126595
2020-10-19,Sell,2660.31,3493.66,0.025583485513759243,7605.963118467375,16697.381878662167
2020-10-26,,2649.4092,3441.42,,,16447.709263312845
2020-11-02,,2629.4834,3296.2,,,15753.653803875086
2020-11-09,,2628.5928,3583.04,,,17124.559106072626
2020-11-16,Buy,2617.7292,3600.16,0.026268276965468247,7805.758664252413,17206.381372052343
