Date,Action,Forecast,Actual,Return (%),Budget,LongOnly
2020-08-17,,2796.0945,3380.86,,,16158.27255608553
2020-08-24,Sell,2784.384,3418.09,-0.015953354066159813,6009.0044963601085,16336.207308563618
2020-08-31,,2791.6038,3509.73,,,16774.185839777474
2020-09-07,,2792.742,3453.6,,,16505.921599740002
2020-09-14,,2779.721,3363.56,,,16075.590009271915
2020-09-21,Buy,2773.5752,3285.57,0.06527025752000408,6401.213767276396,15702.849441295391
2020-09-28,,2780.5015,3333.9,,,15933.834845197243
2020-10-05,,2786.5557,3367.27,,,16093.321353126164
2020-10-12,,2789.331,3500.02,,,16727.778468126595
2020-10-19,Buy,2778.0254,3493.66,0.025583485513759243,6564.979126961988,16697.381878662167
2020-10-26,,2781.7925,3441.42,,,16447.709263312845
2020-11-02,,2790.1023,3296.2,,,15753.653803875086
2020-11-09,,2781.4978,3583.04,,,17124.559106072626
2020-11-16,Buy,2774.7903,3600.16,0.026268276965468247,6737.429816941544,17206.381372052343
2020-11-23,,2765.7153,3566.82,,,17047.038244262407
2020-11-30,,2775.3835,3634.18,,,17368.974449659232
2020-12-07,,2775.4915,3694.73,,,17658.363363506887
2020-12-14,Buy,2778.1821,3675.27,0.024308418157033402,6901.206078235425,17565.357446686485
2020-12-21,,2769.8992,3684.28,,,17608.419281761093
2020-12-28,,2790.6482,3723.03,,,17793.618627947657
2021-01-04,,2796.4475,3764.61,,,17992.3435005783
2021-01-11,Sell,2780.8665,3803.14,-0.018923836619214596,7031.803374535482,18176.49139241232
2021-01-18,,2773.2175,3788.73,,,18107.62113232075
2021-01-25,,2773.7678,3851.68,,,18408.480457287056
2021-02-01,,2768.9387,3731.17,,,17832.52243899175
2021-02-08,Sell,2751.4097,3892.59,-0.012865470034090394,7122.2708301361845,18604.00317348041
2021-02-15,,2759.4893,3911.65,,,18695.09735511437
2021-02-22,,2755.0647,3885.55,,,18570.35663419903
2021-03-01,,2722.414,3842.51,,,18364.653928137875
2021-03-08,Sell,2768.5283,3844.39,0.03249410179508325,6890.839036769587,18373.63908351415
2021-03-15,,2757.366,3942.96,,,18844.738426833115
2021-03-22,,2729.6365,3916.48,,,18718.181557490658
2021-03-29,,2748.7756,3969.31,,,18970.67398223998
2021-04-05,Sell,2715.2476,4034.44,0.03732612208881522,6633.630737588752,19281.952263972395
2021-04-12,,2723.8955,4124.71,,,19713.383102172687
2021-04-19,,2692.4922,4179.8,,,19976.67683072541
2021-04-26,,2694.7812,4185.03,,,20001.672768288136
2021-05-03,Sell,2679.3345,4191.98,-0.005205177505617801,6668.159963084624,20034.889167152563
2021-05-10,,2678.6035,4228.29,,,20208.426928701836
2021-05-17,,2663.154,4169.92,,,19929.45697162029
2021-05-24,,2645.3938,4170.16,,,19930.604012732154
2021-05-31,Sell,4173.6323,4210.77,-0.00887486136739855,6727.338958332638,20124.692927535678
2021-06-07,,4170.619,4229.34,,,20213.445233566246
2021-06-14,,4146.997,4248.31,,,20304.10927478326
2021-06-21,,4159.172,4173.4,,,19946.089067742334
2021-06-28,Buy,4153.777,4284.9,0.0026838432635534087,6745.394081677599,20478.985250963033
2021-07-05,,4157.703,4326.6,,,20678.283644149615
2021-07-12,,4163.6113,4372.41,,,20897.225116376878
2021-07-19,,4166.35,4296.4,,,20533.94763757324
2021-07-26,Sell,4155.2153,4409.58,0.011808380843526983,6665.741899421478,21074.873108576998
2021-08-02,,4179.9785,4406.86,,,21061.873309309194
2021-08-09,,4147.296,4437.77,,,21209.6026458415
2021-08-16,,4153.6113,4461.65,,,21323.733236472082
2021-08-23,Buy,4155.9214,4450.29,0.00550975329697625,6702.468492828609,21269.439957177132
2021-08-30,,4180.3813,4513.76,,,21572.78453788581
2021-09-06,,4169.326,4532.42,,,21661.96698433333
2021-09-13,,4173.8413,4474.81,,,21386.629324106027
2021-09-20,Sell,4180.3613,4402.95,-0.003976879137850809,6729.123399949841,21043.186097861722
2021-09-27,,4196.9907,4442.12,,,21230.392765994053
2021-10-04,,4187.2627,4348.84,,,20784.576120515787
2021-10-11,,4158.787,4385.44,,,20959.499890075225
2021-10-18,Buy,4172.543,4463.72,0.053264989739499634,7087.550088803996,21333.626466061924
2021-10-25,,4184.2915,4553.69,,,21763.62350287238
2021-11-01,,4199.67,4610.62,,,22035.711213282735
2021-11-08,,4218.033,4701.48,,,22469.961860883028
2021-11-15,Buy,4188.107,4689.3,-0.030053526112639475,6874.544217135485,22411.749524455874
2021-11-22,,4163.3657,4712.0,,,22520.240496286453
2021-11-29,,4198.7827,4628.75,,,22122.36061060822
2021-12-06,,4191.8276,4548.37,,,21738.197424892704
2021-12-13,Buy,4203.2764,4710.3,0.014402479672207745,6973.554700478472,22512.115621744077
2021-12-20,,4196.6123,4587.9,,,21927.12465469283
2021-12-27,,4231.7314,4733.99,,,22625.3381381611
2022-01-03,,4220.849,4778.14,,,22836.345909364634
2022-01-10,Buy,4220.8447,4655.34,-0.0480201231274193,6638.683745125702,22249.443207126948
2022-01-17,,4253.3145,4637.99,,,22166.521693415027
2022-01-24,,4243.438,4356.32,,,20820.32556850225
2022-01-31,,4271.592,4431.79,,,21181.02220480419
2022-02-07,Buy,4319.803,4505.75,-0.033641458136825154,6415.348743830435,21534.50204077731
2022-02-14,,4326.825,4412.61,,,21089.354502614297
2022-02-21,,4348.28,4384.57,,,20955.341866044713
2022-02-28,,4361.7593,4354.17,,,20810.049991875127
2022-03-07,Buy,4369.5967,4327.01,0.04947527276340936,6732.749872803841,20680.243172715716
2022-03-14,,4367.323,4202.75,,,20086.362637047518
2022-03-21,,4375.265,4462.4,,,21327.317739946662
2022-03-28,,4374.8013,4541.09,,,21703.40384449946
2022-04-04,Buy,4376.199,4547.97,-0.06434299258790188,6299.544597641826,21736.285689706263
2022-04-11,,4382.6055,4462.64,,,21328.46478105853
2022-04-18,,4351.8667,4385.63,,,20960.40796428879
2022-04-25,,4395.13,4255.34,,,20337.708020684975
2022-05-02,Buy,4401.7144,4130.61,-0.05112804162097114,5977.461219260431,19741.581196172705
2022-05-09,,4390.5117,4081.27,,,19505.76866092509
2022-05-16,,4409.8887,4013.02,,,19179.578844738426
2022-05-23,,4415.227,3919.42,,,18732.232811111004
2022-05-30,Nothing,3985.5535,,0,5977.461219260431,
2022-06-06,,4032.1108,4134.72,,,19761.224275213397
2022-06-13,,4019.3914,3838.15,,,18343.816014605658
2022-06-20,,4035.5557,,,,
2022-06-27,Sell,4048.1284,3920.76,-0.00942929432048895,6033.824460386147,18738.637123985587
2022-07-04,,4039.0132,,,,
2022-07-11,,4039.4485,3880.94,,,18548.323886175287
2022-07-18,,4011.856,3883.79,,,18561.944999378684
2022-07-25,Sell,4022.3972,3965.72,0.07656869370505233,5571.822403408787,18953.516158941664
2022-08-01,,4008.4702,4112.38,,,19654.453865050615
2022-08-08,,4027.8652,4155.93,,,19862.594033474485
2022-08-15,,3997.4539,4269.37,,,20404.762132349428
